Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0699924818342823,4.77680341600801E-09,0.266986488786553,0,0,0,4.36726752622488,0.120130237589006,2.47975489095401E-06,-3.27227207151967E-05,0.191286662671252,2.68105960476505E-10,0.301245720968891,0,0,0,0,0,0,package://sw9/meshes/base_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://sw9/meshes/base_link.STL,,BASE 상-3-1;PART ASS'Y-2-1/BASE 하-3-2;PART ASS'Y-2-1/T PLATE-1-1;PART ASS'Y-2-1/UCP201-2;PART ASS'Y-2-1/BEARING JOINT SHAFT-1;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-1;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-8;PART ASS'Y-2-1/감속기 부착 ASS'Y-1/MOTOR(MSMF012L1T2-100W)-3;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-9;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-2;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-10;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-3;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/MOTOR(MSMF012L1T2-100W)-3;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-11;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-7;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/motor plate-3-2;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/44-BK(30-46-M4).stp-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/KSBL-44-1.stp-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-1/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/44-BK(30-46-M4).stp-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-1/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/KSBL-44-1.stp-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-1/motor plate-3-2;PART ASS'Y-2-1/지지대-3-1;PART ASS'Y-2-1/지지대-2-1;PART ASS'Y-2-1/지지대-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
swing_Link,2.89027834053637E-08,0.0605903676257634,0.00266440834148715,0,0,0,1.44344385530309,0.00290322324922314,-5.36293964980065E-10,-2.47940935714737E-06,0.00598687173589355,3.64864367309228E-06,0.00529337280538946,0,0,0,0,0,0,package://sw9/meshes/swing_Link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://sw9/meshes/swing_Link.STL,,PART ASS'Y-1-1/UCP201-2;PART ASS'Y-1-1/T PLATE-2-1;PART ASS'Y-1-1/UCP201-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/MOTOR(MSMF012L1T2-100W)-3;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/KSBL-44-1.stp-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/motor plate-3-2;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/MOTOR(MSMF012L1T2-100W)-3;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/KSBL-44-1.stp-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/motor plate-3-2;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/44-BK(30-46-M4).stp-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/44-BK(30-46-M4).stp-1,Origin_swing_joint,,swing_joint,revolute,0.226,0,0.19572,-1.5708,0,-1.5708,base_link,0,0,1,0,0,-0.2,0.2,,,,,,,,
inner_gear_fr,5.68499051833982E-07,7.63716316805191E-05,-0.0149805703213809,0,0,0,0.0110327332596441,4.80829060566523E-06,-3.01977896117971E-11,1.64764447799972E-10,4.80952617762222E-06,-3.00538459560634E-08,7.042467854528E-07,0,0,0,0,0,0,package://sw9/meshes/inner_gear_fr.STL,0,1,0,1,0,0,0,0,0,0,package://sw9/meshes/inner_gear_fr.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-2/작은 스퍼기어1-5차측-1,Origin_inner_gear_fr_joint,,inner_gear_fr_joint,continuous,0.32225,0.1648,0.03,1.5708,-1.5108,1.5708,swing_Link,0,0,1,,,,,,,,,,,,
inner_wheel_fr,-0.00591780966759606,0.0438179473141048,-0.0080480834565822,0,0,0,0.293106126667204,0.000390237025481359,-2.69135782346957E-06,-4.80323169388206E-07,0.000409507011836489,3.50734556715664E-06,0.000759562007202022,0,0,0,0,0,0,package://sw9/meshes/inner_wheel_fr.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://sw9/meshes/inner_wheel_fr.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-2/INEER WHE-2EL-5;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/맨겉뚜껑_v3-1-1,Origin_inner_gear_fr_joint,,inner_wheel_fr_joint,continuous,0.32225,0.1648,0.03,1.5708,-1.5108,1.5708,swing_Link,0,0,1,,,,,,,,,,,,
wheel_fr,7.76422831502976E-05,0.00868726029411426,0.0001059050331738,0,0,0,0.165142633558274,0.000463075796975926,-5.44937415188663E-09,7.50961713471139E-07,0.000907319831290129,-7.43304666822627E-09,0.000463549564232601,0,0,0,0,0,0,package://sw9/meshes/wheel_fr.STL,0.796078431372549,0.623529411764706,1,1,0,0,0,0,0,0,package://sw9/meshes/wheel_fr.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-2/바깥 스퍼 기어(감속기)-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/outer cage_Ball Typ_홈깊게-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/tire160_돌출_홈깊게-1,Origin_wheel_fr_joint,,wheel_fr_joint,continuous,-0.0064373,0.047566,0.003,-1.5708,0,-2.4469,inner_wheel_fr,0,1,0,,,,,,,,,,,,
inner_gear_fl,5.68499051945004E-07,7.63716316805052E-05,-0.014980570321381,0,0,0,0.011032733259644,4.80829060566521E-06,-3.01977896113736E-11,1.64764447799266E-10,4.8095261776222E-06,-3.00538459560612E-08,7.04246785452791E-07,0,0,0,0,0,0,package://sw9/meshes/inner_gear_fl.STL,0,1,0,1,0,0,0,0,0,0,package://sw9/meshes/inner_gear_fl.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-1/작은 스퍼기어1-5차측-1,Origin_inner_gear_fl_joint,,inner_gear_fl_joint,continuous,-0.32225,0.1648,0.03,-1.5708,1.5108,1.5708,swing_Link,0,0,-1,,,,,,,,,,,,
inner_wheel_fl,-0.00591780966759603,0.0438179473141047,-0.00804808345658231,0,0,0,0.293106126667203,0.000390237025481358,-2.69135782346954E-06,-4.80323169388321E-07,0.000409507011836488,3.50734556715672E-06,0.00075956200720202,0,0,0,0,0,0,package://sw9/meshes/inner_wheel_fl.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://sw9/meshes/inner_wheel_fl.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-1/INEER WHE-2EL-5;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/맨겉뚜껑_v3-1-1,Origin_inner_gear_fl_joint,,inner_wheel_fl_joint,continuous,-0.32225,0.1648,0.03,-1.5708,1.5108,1.5708,swing_Link,0,0,-1,,,,,,,,,,,,
wheel_fl,7.7642283151047E-05,0.00868726029411437,0.000105905033174342,0,0,0,0.165142633558273,0.000463075796975928,-5.44937415161992E-09,7.5096171347E-07,0.000907319831290127,-7.43304666820217E-09,0.000463549564232599,0,0,0,0,0,0,package://sw9/meshes/wheel_fl.STL,0.796078431372549,0.623529411764706,1,1,0,0,0,0,0,0,package://sw9/meshes/wheel_fl.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-1/바깥 스퍼 기어(감속기)-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/outer cage_Ball Typ_홈깊게-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/tire160_돌출_홈깊게-1,Origin_wheel_fl_joint,,wheel_fl_joint,continuous,-0.0064373,0.047566,0.003,-1.5708,0,-2.4469,inner_wheel_fl,0,-1,0,,,,,,,,,,,,
inner_gear_rr,5.68499051806226E-07,7.63716316805191E-05,-0.0149805703213809,0,0,0,0.011032733259644,4.80829060566522E-06,-3.01977896123265E-11,1.64764447786595E-10,4.80952617762221E-06,-3.00538459560662E-08,7.04246785452796E-07,0,0,0,0,0,0,package://sw9/meshes/inner_gear_rr.STL,0,1,0,1,0,0,0,0,0,0,package://sw9/meshes/inner_gear_rr.STL,,PART ASS'Y-2-1/감속기 부착 ASS'Y-2/작은 스퍼기어1-5차측-1,Origin_inner_gear_rr_joint,,inner_gear_rr_joint,continuous,-0.244,-0.32225,0.030922,1.5708,0.059958,0,base_link,0,0,1,,,,,,,,,,,,
inner_wheel_rr,-0.00591780966759606,0.0438179473141048,-0.0080480834565822,0,0,0,0.293106126667204,0.000390237025481359,-2.69135782346949E-06,-4.80323169387075E-07,0.000409507011836489,3.50734556715678E-06,0.000759562007202022,0,0,0,0,0,0,package://sw9/meshes/inner_wheel_rr.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://sw9/meshes/inner_wheel_rr.STL,,PART ASS'Y-2-1/감속기 부착 ASS'Y-2/INEER WHE-2EL-5;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/맨겉뚜껑_v3-1-1,Origin_inner_gear_rr_joint,,inner_wheel_rr_joint,continuous,-0.244,-0.32225,0.030922,1.5708,0.059958,0,base_link,0,0,1,,,,,,,,,,,,
