Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.173677988702651,-1.33001645405301,0.127094960664252,0,0,0,4.36726752622247,0.120130237589001,2.47975488951252E-06,-3.2722720712388E-05,0.191286662671251,2.68102690574057E-10,0.301245720968886,0,0,0,0,0,0,package://ASSY/meshes/base_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://ASSY/meshes/base_link.STL,,BASE 상-3-1;PART ASS'Y-2-1/BASE 하-3-2;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-8;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-1;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-9;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-2;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-10;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-3;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-11;PART ASS'Y-2-1/PLATE SUPPORT SHAFT-7;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/MOTOR(MSMF012L1T2-100W)-3;PART ASS'Y-2-1/T PLATE-1-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-1/MOTOR(MSMF012L1T2-100W)-3;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/44-BK(30-46-M4).stp-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/KSBL-44-1.stp-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-1/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/44-BK(30-46-M4).stp-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-1/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/KSBL-44-1.stp-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/motor plate-3-2;PART ASS'Y-2-1/감속기 부착 ASS'Y-1/motor plate-3-2;PART ASS'Y-2-1/UCP201-2;PART ASS'Y-2-1/BEARING JOINT SHAFT-1;PART ASS'Y-2-1/지지대-2-1;PART ASS'Y-2-1/지지대-3-1;PART ASS'Y-2-1/지지대-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rear_left_wheel_link,0.000505290609487896,0.011573026959208,0.00262595144799704,0,0,0,0.42269955285096,0.000815542921585711,6.60524034039688E-07,3.86285448095549E-06,0.00159042388409674,3.46784877596443E-06,0.000834325692195126,0,0,0,0,0,0,package://ASSY/meshes/rear_left_wheel_link.STL,0.796078431372549,0.623529411764706,1,1,0,0,0,0,0,0,package://ASSY/meshes/rear_left_wheel_link.STL,,PART ASS'Y-2-1/감속기 부착 ASS'Y-1/바깥 스퍼 기어(감속기)-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-1/outer cage_Ball Typ_홈깊게-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-1/tire160_돌출_홈깊게-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-1/INEER WHE-2EL-5,Origin_rear_left_wheel_joint,,rear_left_wheel_joint,continuous,-0.34344,-1.0048,-0.061158,3.1416,0.27703,0,base_link,0,0,1,,,,,,,,,,,,
rear_left_pinion_link,5.68499051833982E-07,7.63716316805052E-05,-0.014980570321381,0,0,0,0.011032733259644,4.80829060566522E-06,-3.01977896111883E-11,1.64764447774515E-10,4.8095261776222E-06,-3.00538459560668E-08,7.0424678545279E-07,0,0,0,0,0,0,package://ASSY/meshes/rear_left_pinion_link.STL,0,1,0,1,0,0,0,0,0,0,package://ASSY/meshes/rear_left_pinion_link.STL,,PART ASS'Y-2-1/감속기 부착 ASS'Y-1/작은 스퍼기어1-5차측-1,Origin_rear_left_pinion_joint,,rear_left_pinion_joint,continuous,-0.34769,-1.0078,-0.10897,1.5708,0.059958,-3.1416,base_link,0,0,1,,,,,,,,,,,,
rear_right_wheel_link,0.00050529060948773,0.0115730269592083,0.00262595144799673,0,0,0,0.422699552850961,0.00081554292158571,6.60524034039777E-07,3.86285448095641E-06,0.00159042388409674,3.46784877596389E-06,0.000834325692195128,0,0,0,0,0,0,package://ASSY/meshes/rear_right_wheel_link.STL,0.796078431372549,0.623529411764706,1,1,0,0,0,0,0,0,package://ASSY/meshes/rear_right_wheel_link.STL,,PART ASS'Y-2-1/감속기 부착 ASS'Y-2/바깥 스퍼 기어(감속기)-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/outer cage_Ball Typ_홈깊게-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/tire160_돌출_홈깊게-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/INEER WHE-2EL-5,Origin_rear_right_wheel_joint,,rear_right_wheel_joint,continuous,-0.35193,-1.6553,-0.061158,3.1416,0.27703,3.1416,base_link,0,0,1,,,,,,,,,,,,
rear_right_pinion_link,5.68499051833982E-07,7.63716316804774E-05,-0.0149805703213808,0,0,0,0.011032733259644,4.80829060566523E-06,-3.01977896111354E-11,1.647644477716E-10,4.80952617762221E-06,-3.0053845956065E-08,7.04246785452792E-07,0,0,0,0,0,0,package://ASSY/meshes/rear_right_pinion_link.STL,0,1,0,1,0,0,0,0,0,0,package://ASSY/meshes/rear_right_pinion_link.STL,,PART ASS'Y-2-1/감속기 부착 ASS'Y-2/작은 스퍼기어1-5차측-1,Origin_rear_right_pinion_joint,,rear_right_pinion_joint,continuous,-0.34769,-1.6523,-0.10897,1.5708,0.059958,0,base_link,0,0,1,,,,,,,,,,,,
swing_Link,-0.0273355916599197,-0.0287903676176555,2.89047461521363E-08,0,0,0,1.44344385546095,0.00529337280544806,-3.64864364493946E-06,-2.47940932052328E-06,0.00598687173593352,5.36206177992086E-10,0.00290322324927834,0,0,0,0,0,0,package://ASSY/meshes/swing_Link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://ASSY/meshes/swing_Link.STL,,PART ASS'Y-1-1/T PLATE-2-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/motor plate-3-2;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/MOTOR(MSMF012L1T2-100W)-3;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/44-BK(30-46-M4).stp-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/KSBL-44-1.stp-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/MOTOR(MSMF012L1T2-100W)-3;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/44-BK(30-46-M4).stp-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/KSBL - 44-1 30-46-M4-S8-5/KSBL - 44-1 30-46-M4-S8.stp-1/KSBL-44-1.stp-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/motor plate-3-2;PART ASS'Y-1-1/UCP201-2;PART ASS'Y-1-1/UCP201-1,Origin_swing_joint,Axis_swing_joint,swing_joint,fixed,0.152314493131538,-1.33001645882975,0.0240300843962699,1.5707963267949,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
front_left_wheel_link,0.000505290609487868,0.011573026959208,0.00262595144799711,0,0,0,0.422699552850963,0.000815542921585712,6.60524034037468E-07,3.86285448095662E-06,0.00159042388409675,3.46784877596432E-06,0.000834325692195135,0,0,0,0,0,0,package://ASSY/meshes/front_left_wheel_link.STL,0.796078431372549,0.623529411764706,1,1,0,0,0,0,0,0,package://ASSY/meshes/front_left_wheel_link.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-1/바깥 스퍼 기어(감속기)-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/outer cage_Ball Typ_홈깊게-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/tire160_돌출_홈깊게-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-1/INEER WHE-2EL-5,Origin_front_left_wheel_joint,,front_left_wheel_joint,continuous,0.0042466,-0.085188,-0.32525,1.5708,0,-0.27703,swing_Link,0,0,1,,,,,,,,,,,,
front_left_pinion_link,5.68499051861737E-07,7.63716316805052E-05,-0.0149805703213808,0,0,0,0.0110327332596441,4.80829060566525E-06,-3.01977896109501E-11,1.64764447792167E-10,4.80952617762223E-06,-3.00538459560686E-08,7.04246785452799E-07,0,0,0,0,0,0,package://ASSY/meshes/front_left_pinion_link.STL,0,1,0,1,0,0,0,0,0,0,package://ASSY/meshes/front_left_pinion_link.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-1/작은 스퍼기어1-5차측-1,Origin_front_left_pinion_joint,,front_left_pinion_joint,continuous,0,-0.133,-0.32225,3.1416,0,-3.0816,swing_Link,0,0,1,,,,,,,,,,,,
front_right_wheel_link,0.000505290609487896,0.011573026959208,0.00262595144799696,0,0,0,0.422699552850966,0.000815542921585718,6.60524034035726E-07,3.86285448095404E-06,0.00159042388409675,3.46784877596481E-06,0.000834325692195138,0,0,0,0,0,0,package://ASSY/meshes/front_right_wheel_link.STL,0.796078431372549,0.623529411764706,1,1,0,0,0,0,0,0,package://ASSY/meshes/front_right_wheel_link.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-2/바깥 스퍼 기어(감속기)-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/outer cage_Ball Typ_홈깊게-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/tire160_돌출_홈깊게-1;PART ASS'Y-1-1/감속기 부착 ASS'Y-2/INEER WHE-2EL-5,Origin_front_right_wheel_joint,,front_right_wheel_joint,continuous,-0.0042466,-0.085188,0.32525,-1.5708,0,-2.8646,swing_Link,0,0,1,,,,,,,,,,,,
front_right_pinion_link,5.68499051889493E-07,7.63716316805052E-05,-0.0149805703213812,0,0,0,0.011032733259644,4.80829060566522E-06,-3.01977896116648E-11,1.64764447804042E-10,4.80952617762221E-06,-3.00538459560664E-08,7.04246785452794E-07,0,0,0,0,0,0,package://ASSY/meshes/front_right_pinion_link.STL,0,1,0,1,0,0,0,0,0,0,package://ASSY/meshes/front_right_pinion_link.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-2/작은 스퍼기어1-5차측-1,Origin_front_right_pinion_joint,,front_right_pinion_joint,continuous,0,-0.133,0.32225,0,0,-0.059958,swing_Link,0,0,1,,,,,,,,,,,,
